,First Name,Last Name,Height,Flavour,Country of Origin,Favorite Icecream,Like Liquorice,Times Visited Italy,First Time London,Steps per Day
0,Katie,Watts,186.17,Mint Chocolate Chip,Japan,Strawberry,0,5,0,2350
1,Edwin,Hudson,162.38,Strawberry,Sweden,Chocolate,1,3,1,7318
2,Alexander,Hayes,175.63,Butter Pecan,Denmark,Vanilla,1,0,0,8412
3,Greg,Quinn,157.13,Mint Chocolate Chip,Denmark,Stracciatella,0,0,0,5288
4,Briana,Jones,154.72,French Vanilla,Sweden,Chocolate,1,6,0,6140
5,Patricia,Madden,161.58,Cookies and Cream,Japan,Vanilla,1,0,0,4895
6,Alisha,Bishop,184.42,Cookies and Cream,Japan,Chocolate,1,6,0,11472
7,Terrence,Browning,170.32,Neapolitan,Japan,Vanilla,1,6,0,6601
8,Jesus,Morales,170.97,Neapolitan,Denmark,Strawberry,1,3,0,12140
9,Bethany,Bishop,176.98,Cookies and Cream,Sweden,Stracciatella,1,0,0,11075
10,Frank,Gonzales,165.9,Mint Chocolate Chip,China,Strawberry,1,4,0,6997
11,Cheryl,Tran,155.49,Neapolitan,Sweden,Chocolate,1,0,0,11357
12,Jacqueline,Mills,153.35,French Vanilla,Sweden,Vanilla,1,3,0,9774
13,Jacqueline,Simon,171.03,Strawberry,Norway,Chocolate,0,4,0,3611
14,Shirley,Browning,167.61,Neapolitan,Norway,Strawberry,0,0,0,4377
15,Alexis,Hawkins,172.99,Neapolitan,Sweden,Vanilla,0,3,0,10341
16,Devon,Moreno,180.55,Butter Pecan,Sweden,Stracciatella,0,6,0,4731
17,Christine,Ellis,190.6,Cookies and Cream,Denmark,Vanilla,1,3,0,7483
18,Blake,Reeves,189.08,Cookies and Cream,Denmark,Vanilla,1,3,0,14974
19,Dylan,Simon,175.08,French Vanilla,Denmark,Stracciatella,0,3,0,5388
20,Alejandra,Norris,170.87,Mint Chocolate Chip,Denmark,Vanilla,0,3,0,6140
21,Kathleen,Yates,153.56,Neapolitan,China,Vanilla,1,5,0,6548
22,Claire,Bowman,167.65,Mint Chocolate Chip,Denmark,Strawberry,1,3,0,11357
23,Pamela,Curtis,174.18,Butter Pecan,Sweden,Strawberry,0,6,0,2493
24,Bryan,Savage,184.1,French Vanilla,Denmark,Chocolate,1,3,0,6924
25,Miguel,Berry,167.87,Butter Pecan,Denmark,Strawberry,1,6,0,8112
26,Nicholas,Daugherty,171.55,French Vanilla,Japan,Vanilla,1,0,0,8412
27,Greg,Morrison,176.33,Mint Chocolate Chip,Denmark,Strawberry,1,3,0,7807
28,Suzanne,Howell,171.35,Butter Pecan,Germany,Chocolate,0,3,0,6140
29,Brady,Rush,146.68,Mint Chocolate Chip,Sweden,Strawberry,1,3,0,7439
30,Tanya,Lucas,158.69,Neapolitan,Sweden,Chocolate,0,3,0,8143
31,Shaun,Stewart,186.45,Mint Chocolate Chip,Sweden,Strawberry,0,5,0,10595
32,Alexander,Love,170.45,Strawberry,Sweden,Vanilla,1,5,0,6924
33,Brendan,Moreno,172.28,French Vanilla,Japan,Stracciatella,0,6,0,5567
34,Caroline,Erickson,175.2,Butter Pecan,Sweden,Stracciatella,1,3,0,16265
35,Michele,Bray,175.18,French Vanilla,Sweden,Stracciatella,1,6,0,4980
36,Damon,Christensen,164.76,Strawberry,Sweden,Stracciatella,0,3,0,9906
37,Bradley,Hartman,179.07,Butter Pecan,Denmark,Chocolate,0,6,0,4493
38,Patricia,Howell,156.22,Strawberry,Sweden,Stracciatella,0,3,0,4980
39,Chris,Contreras,168.77,French Vanilla,Japan,Stracciatella,0,6,0,11067
40,Brett,Campbell,171.06,Neapolitan,Sweden,Stracciatella,1,6,0,4493
41,Jerry,Cervantes,172.44,Strawberry,Sweden,Strawberry,1,6,0,8573
42,Terrence,Ellison,165.41,Neapolitan,Norway,Chocolate,0,6,0,11425
43,Jerry,Dunlap,160.64,Cookies and Cream,Norway,Strawberry,1,3,0,7484
44,Grace,Kelley,193.83,Strawberry,Sweden,Vanilla,1,0,0,5701
45,Peter,Craig,176.3,Strawberry,Sweden,Strawberry,0,0,0,9508
46,Jasmine,Herman,173.84,French Vanilla,Sweden,Stracciatella,1,3,0,12704
47,Bethany,Clarke,163.5,Neapolitan,Sweden,Vanilla,0,0,0,6603
48,Cindy,Lucas,163.31,Neapolitan,Sweden,Stracciatella,0,3,0,11508
49,Cheryl,Olson,172.95,Neapolitan,Sweden,Vanilla,1,3,0,13858
50,Nicholas,Howell,179.07,Cookies and Cream,Italy,Strawberry,0,6,0,6861
51,Kaylee,Mccarty,163.5,French Vanilla,Sweden,Vanilla,0,3,0,14535
52,Sonya,Aguilar,172.44,Strawberry,Sweden,Vanilla,0,4,0,10272
53,Margaret,Merritt,179.14,Butter Pecan,Denmark,Vanilla,1,0,0,8706
54,Luis,Cooper,188.92,Butter Pecan,Sweden,Vanilla,1,6,0,14492
55,Miguel,Foster,170.89,Neapolitan,Italy,Vanilla,0,4,0,12688
56,Jenny,Cervantes,167.4,Cookies and Cream,Norway,Vanilla,1,3,0,12123
57,Kellie,Clarke,169.58,Strawberry,Sweden,Stracciatella,0,6,0,1924
58,Carrie,Fuentes,175.95,Neapolitan,Norway,Vanilla,1,4,0,8346
59,Christina,Murray,161.56,Cookies and Cream,Italy,Vanilla,0,3,0,5372
60,Suzanne,Roberts,174.96,French Vanilla,Sweden,Strawberry,1,0,0,10462
61,Colton,Olson,157.13,French Vanilla,Sweden,Vanilla,1,0,0,8361
62,Ricky,Weaver,184.96,Butter Pecan,Norway,Vanilla,1,3,0,7716
63,Larry,Hayes,172.41,Cookies and Cream,Sweden,Strawberry,1,0,0,16955
64,Mathew,Wang,176.15,Mint Chocolate Chip,Sweden,Strawberry,0,3,0,10595
65,Toni,Madden,177.36,Cookies and Cream,Sweden,Strawberry,0,3,0,9706
66,Tanner,Larson,168.74,Cookies and Cream,Denmark,Vanilla,0,3,0,11472
67,Vanessa,Thomas,166.29,Strawberry,Denmark,Strawberry,0,5,0,4883
68,Nathaniel,Dean,172.92,Neapolitan,Denmark,Vanilla,0,3,0,1766
69,Micheal,Wong,188.92,Cookies and Cream,Denmark,Strawberry,0,3,0,6709
70,Damon,Dennis,189.25,Mint Chocolate Chip,Sweden,Vanilla,1,0,0,12885
71,Troy,Flores,172.99,Neapolitan,Sweden,Strawberry,1,3,0,4816
72,Patricia,Berg,183.26,Strawberry,Japan,Chocolate,1,0,1,7595
73,Caitlyn,Gray,184.03,Strawberry,Sweden,Vanilla,1,3,0,3063
74,Patricia,Craig,169.53,Cookies and Cream,Japan,Chocolate,0,3,0,11572
75,Elijah,Dennis,157.49,Strawberry,Norway,Strawberry,0,0,0,3338
76,Caitlyn,Fox,160.3,Mint Chocolate Chip,Sweden,Vanilla,1,4,0,4731
77,Ricky,Shaw,160.54,Cookies and Cream,Italy,Strawberry,0,0,0,8113
78,Denise,Owens,175.25,Strawberry,Sweden,Vanilla,0,6,0,11669
79,Mathew,Patton,171.82,Mint Chocolate Chip,Norway,Vanilla,0,0,0,2786
80,Mathew,Mathis,186.17,Neapolitan,Sweden,Strawberry,0,3,0,6601
81,Ruth,Wong,177.9,Mint Chocolate Chip,Germany,Vanilla,0,0,0,7466
82,Kim,Garcia,170.85,Strawberry,Denmark,Strawberry,0,6,0,5805
83,Kellie,Shaw,165.84,Strawberry,Sweden,Strawberry,0,0,0,6971
84,Peggy,Rollins,171.46,French Vanilla,Norway,Vanilla,0,3,0,8040
85,Bethany,Murray,178.21,Neapolitan,Norway,Stracciatella,1,3,1,11472
86,Nicholas,Berg,188.09,Cookies and Cream,Denmark,Strawberry,1,6,0,4406
87,Breanna,Lee,153.68,Neapolitan,Norway,Vanilla,1,3,0,7102
88,Sheri,Morrow,167.87,Neapolitan,Sweden,Strawberry,1,5,0,11587
