First Name,Last Name,Height,Flavour,Country of Origin,Favorite Icecream,Like Liquorice,Times Visited Italy,First Time London,Steps per Day
Stacy,Martinez,180.05,Chocolate,Sweden,Vanilla,1,3,1,12737
April,Duffy,166.03,Vanilla,USA,Stracciatella,1,2,1,10302
Travis,Dean,170.37,Chocolate,Italy,Chocolate,0,2,0,6715
Jennifer,Davis,185.16,Neapolitan,France,Chocolate,0,2,0,5772
Samuel,Williams,183.13,Rocky Road,Germany,Stracciatella,0,0,0,6199
Michael,Young,159.99,Chocolate,Canada,Stracciatella,1,1,1,10842
Jacob,Zamora,178.9,Pistachio,Norway,Pistachio,1,0,0,10467
Daniel,Vance,175.45,Vanilla,Canada,Pistachio,0,0,0,4337
Joan,Oconnell,162.75,Neapolitan,Brazil,Vanilla,1,4,0,7653
Jeremiah,Harvey,176.82,Mint Chocolate Chip,USA,Vanilla,0,0,0,7096
Vanessa,Garcia,168.67,Cookies and Cream,France,Chocolate,0,2,0,5969
Richard,Brown,172.8,Cookies and Cream,Japan,Pistachio,1,1,0,9835
Tina,Johnson,164.5,Chocolate,USA,Pistachio,0,0,0,3475
Mark,Lewis,170.32,Pistachio,France,Stracciatella,1,1,0,11298
Jessica,Davis,172.13,French Vanilla,Sweden,Stracciatella,1,2,0,9084
Stephanie,Malone,166.79,Neapolitan,Japan,Mint,0,0,0,12614
Gloria,Ayala,155.96,Vanilla,France,Mint,0,0,1,8261
Anne,Clark,185.2,Neapolitan,UK,Strawberry,0,2,1,7102
Dawn,Holland,173.65,Butter Pecan,Denmark,Vanilla,1,2,0,9504
Tammie,Johnson,179.27,Mint Chocolate Chip,Denmark,Chocolate,1,2,0,11474
Teresa,Thomas,154.61,French Vanilla,Norway,Mint,1,2,0,11821
Michele,Patterson,185.25,Rocky Road,China,Strawberry,0,0,0,7124
Erica,Dunn,177.59,French Vanilla,Germany,Chocolate,0,1,0,7516
Chelsea,Hunter,167.65,Rocky Road,Denmark,Strawberry,1,4,0,9212
Theresa,Ward,166.58,Chocolate,Canada,Vanilla,0,0,1,8180
Douglas,Adams,161.22,Chocolate,Brazil,Vanilla,1,0,0,15389
Carrie,Ramos,165.55,French Vanilla,China,Strawberry,0,0,0,11428
Ana,Peck,170.77,Mint Chocolate Chip,UK,Strawberry,0,3,1,10255
Scott,Bridges,174.67,Cookies and Cream,Denmark,Vanilla,1,0,0,5028
Lisa,Rodriguez,165.94,Mint Chocolate Chip,Norway,Mint,1,2,0,6301
Wendy,Bell,163.22,Cookies and Cream,Japan,Vanilla,0,1,0,9861
Elizabeth,Wells,164.23,French Vanilla,Brazil,Vanilla,1,0,1,7517
Christopher,Perkins,169.95,Vanilla,Japan,Strawberry,0,1,0,8682
Nathaniel,Haas,176.12,French Vanilla,Finland,Stracciatella,1,1,0,11921
Gavin,Howard,163.09,Pistachio,UK,Strawberry,0,2,1,9565
